CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Mon/Day/Year),Time (Hour:Min:Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,USRSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-05,16:41:47,17,5.0,2.0,6.0,34.00,24-22:20:33,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1,MCS 5 shortGI,40.00,1-00:02:01,0-07:45:36,7.0,-90.0,-93.0,-88.0,-101.0,13.0,MCS 10 short GI,170785,MCS 1,59041,0
2025-03-05,16:41:57,17,5.0,2.0,6.0,34.00,24-22:20:44,70,-84.0,-80.0,-79.0,-105.0,26.0,MCS 1,MCS 10 shortGI,40.00,1-00:02:13,0-07:45:48,7.0,-90.0,-99.0,-90.0,-99.0,9.0,MCS 10 short GI,170867,MCS 1,59069,0
2025-03-05,16:42:08,17,5.0,2.0,6.0,34.00,24-22:20:52,70,-83.0,-80.0,-78.0,-105.0,27.0,MCS 1,MCS 10 shortGI,40.00,1-00:02:22,0-07:45:56,7.0,-90.0,-96.0,-89.0,-98.0,9.0,MCS 10 short GI,170930,MCS 1,59087,0
2025-03-05,16:42:18,17,5.0,2.0,6.0,34.00,24-22:21:04,70,-84.0,-80.0,-78.0,-105.0,27.0,MCS 1,MCS 10 shortGI,40.00,1-00:02:34,0-07:46:08,7.0,-90.0,-95.0,-89.0,-101.0,12.0,MCS 10 short GI,171025,MCS 1,59122,0
2025-03-05,16:42:29,17,5.0,2.0,6.0,34.00,24-22:21:16,70,-85.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:02:43,0-07:46:19,7.0,-90.0,-96.0,-89.0,-100.0,11.0,MCS 10 short GI,171090,MCS 2 short GI,59145,0
2025-03-05,16:42:39,17,5.0,2.0,6.0,34.00,24-22:21:23,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:02:55,0-07:46:27,7.0,-91.0,-97.0,-90.0,-99.0,9.0,MCS 10 short GI,171159,MCS 1 short GI,59166,0
2025-03-05,16:42:49,17,5.0,2.0,6.0,34.00,24-22:21:35,70,-84.0,-80.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:03:04,0-07:46:39,7.0,-89.0,-94.0,-87.0,-100.0,13.0,MCS 10 short GI,171250,MCS 1 short GI,59196,0
2025-03-05,16:43:00,17,5.0,2.0,6.0,34.00,24-22:21:47,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:03:16,0-07:46:51,7.0,-89.0,-97.0,-89.0,-100.0,11.0,MCS 7 short GI,171318,MCS 1 short GI,59224,0
2025-03-05,16:43:10,17,5.0,2.0,6.0,34.00,24-22:21:55,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:03:25,0-07:46:59,7.0,-91.0,-96.0,-90.0,-100.0,10.0,MCS 10 short GI,171390,MCS 1 short GI,59245,0
2025-03-05,16:43:20,17,5.0,2.0,6.0,34.00,24-22:22:07,70,-83.0,-80.0,-78.0,-105.0,27.0,MCS 1 shortGI,MCS 10,40.00,1-00:03:37,0-07:47:11,7.0,-90.0,-97.0,-90.0,-101.0,11.0,MCS 10,171474,MCS 1,59276,0
2025-03-05,16:43:31,17,5.0,2.0,6.0,34.00,24-22:22:16,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:03:46,0-07:47:19,7.0,-90.0,-91.0,-87.0,-97.0,10.0,MCS 10 short GI,171536,MCS 1 short GI,59299,0
2025-03-05,16:43:41,17,5.0,2.0,6.0,34.00,24-22:22:28,69,-83.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10,40.00,1-00:03:58,0-07:47:31,7.0,-90.0,-92.0,-88.0,-98.0,10.0,MCS 10 short GI,171636,MCS 1 short GI,59327,0
2025-03-05,16:43:52,17,5.0,2.0,6.0,34.00,24-22:22:39,70,-83.0,-80.0,-78.0,-105.0,27.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:04:07,0-07:47:42,7.0,-91.0,-96.0,-90.0,-99.0,9.0,MCS 10 short GI,171713,MCS 1 short GI,59357,0
2025-03-05,16:44:02,17,5.0,2.0,6.0,34.00,24-22:22:50,70,-83.0,-80.0,-79.0,-105.0,26.0,MCS 1,MCS 10 shortGI,40.00,1-00:04:16,0-07:47:54,7.0,-90.0,-92.0,-88.0,-100.0,12.0,MCS 10 short GI,171787,MCS 1 short GI,59384,0
2025-03-05,16:44:12,17,5.0,2.0,6.0,34.00,24-22:22:58,69,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1 shortGI,MCS 10 shortGI,40.00,1-00:04:28,0-07:48:02,7.0,-89.0,-94.0,-88.0,-101.0,13.0,MCS 10 short GI,171859,MCS 1 short GI,59400,0
2025-03-05,16:44:23,17,5.0,2.0,6.0,34.00,24-22:23:10,70,-85.0,-83.0,-81.0,-105.0,24.0,MCS 1 shortGI,MCS 12,40.00,1-00:04:37,0-07:48:14,7.0,-92.0,-98.0,-91.0,-101.0,10.0,MCS 10 short GI,171945,MCS 1 short GI,59432,0
2025-03-05,16:44:33,17,5.0,2.0,6.0,34.00,24-22:23:17,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1,MCS 7 shortGI,40.00,1-00:04:49,0-07:48:25,7.0,-89.0,-94.0,-88.0,-101.0,13.0,MCS 10 short GI,171986,MCS 1,59451,0
2025-03-05,16:44:43,17,5.0,2.0,6.0,33.00,24-22:23:29,70,-83.0,-80.0,-78.0,-105.0,27.0,MCS 1,MCS 10 shortGI,40.00,1-00:04:58,0-07:48:33,7.0,-89.0,-99.0,-89.0,-100.0,11.0,MCS 10 short GI,172075,MCS 1,59480,0
2025-03-05,16:44:54,17,5.0,2.0,6.0,33.00,24-22:23:41,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1,MCS 10 shortGI,40.00,1-00:05:10,0-07:48:44,7.0,-90.0,-95.0,-89.0,-99.0,10.0,MCS 10 short GI,172159,MCS 1,59510,0
2025-03-05,16:45:04,17,5.0,2.0,6.0,33.00,24-22:23:52,70,-84.0,-81.0,-79.0,-105.0,26.0,MCS 1,MCS 10 shortGI,40.00,1-00:05:19,0-07:48:56,7.0,-89.0,-96.0,-88.0,-99.0,11.0,MCS 10 short GI,172223,MCS 2 short GI,59533,0
