CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Mon/Day/Year),Time (Hour:Min:Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,USRSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-05,16:44:54,17,5.0,2.0,6.0,33.00,24-22:23:41,70,-70.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:14,0-07:48:44,7.0,-60.0,-61.0,-57.0,-99.0,42.0,MCS 15,255058,MCS 7 short GI,136349,0
2025-03-05,16:45:04,17,5.0,2.0,6.0,33.00,24-22:23:52,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:24,0-07:48:56,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,255165,MCS 7 short GI,136413,0
2025-03-05,16:45:15,17,5.0,2.0,6.0,33.00,24-22:24:00,70,-68.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:35,0-07:49:03,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,255244,MCS 7 short GI,136455,0
2025-03-05,16:45:25,17,5.0,2.0,6.0,33.00,24-22:24:12,70,-68.0,-59.0,-58.0,-99.0,41.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:45,0-07:49:15,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,255386,MCS 7 short GI,136539,0
2025-03-05,16:45:35,17,5.0,2.0,6.0,33.00,24-22:24:23,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:57,0-07:49:27,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,255504,MCS 7 short GI,136606,0
2025-03-05,16:45:46,17,5.0,2.0,6.0,33.00,24-22:24:32,69,-67.0,-63.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 14 shortGI,30.00,1-00:06:06,0-07:49:35,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,255590,MCS 7 short GI,136651,0
2025-03-05,16:45:56,17,5.0,2.0,6.0,33.00,24-22:24:43,70,-67.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:17,0-07:49:47,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,255713,MCS 7 short GI,136718,0
2025-03-05,16:46:06,17,5.0,2.0,6.0,33.00,24-22:24:55,69,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:27,0-07:49:58,7.0,-60.0,-59.0,-56.0,-100.0,44.0,MCS 15,255844,MCS 7 short GI,136799,0
2025-03-05,16:46:17,17,5.0,2.0,6.0,33.00,24-22:25:03,70,-68.0,-63.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:36,0-07:50:06,7.0,-59.0,-60.0,-56.0,-100.0,44.0,MCS 15,255944,MCS 7 short GI,136852,0
2025-03-05,16:46:27,17,5.0,2.0,6.0,33.00,24-22:25:14,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:48,0-07:50:18,7.0,-61.0,-58.0,-56.0,-98.0,42.0,MCS 15,256081,MCS 7 short GI,136934,0
